year,number,song,artist,semanas
2011,27,Where Them Girls At,David Guetta&Florida & Nicki Minaj,"29 Semanas en lista
1x"
2011,28,Judas,LADY GAGA,"24 Semanas en lista
1x"
2011,29,Tu,Sergio Dalma,"27 Semanas en lista
1x"
2011,30,WAKA WAKA ( Esto es Africa ),Shakira featuring Freshlyground,"70 Semanas en lista
6x"
2011,31,Aqui sigo yo,Andy & Lucas,"28 Semanas en lista
1x"
2011,32,Firework,Katy Perry,30 Semanas en lista
2011,33,Barbra Streisand,Duck Sauce,"30 Semanas en lista
1x"
2011,34,Cuatro elementos,La Musicalite,"26 Semanas en lista
1x"
2011,35,Hold my hand,Michael Jackson,"25 Semanas en lista
1x"
2011,36,"Macu, Macu, Lore, Lore",LORE / MACU,19 Semanas en lista
2011,37,Till the World Ends,Britney Spears,28 Semanas en lista
2011,38,Sale El Sol,SHAKIRA,"25 Semanas en lista
1x"
2011,39,Someone like you,Adele,18 Semanas en lista
2011,40,Every Teardrop is a Waterfall,COLDPLAY,20 Semanas en lista
2011,41,Love The Way You Lie (feat Rihanna),Eminem,"41 Semanas en lista
1x"
2011,42,La Niña Que Llora En Tus Fiestas,La Oreja De Van Gogh,23 Semanas en lista
2011,43,Paradise,COLDPLAY,16 Semanas en lista
2011,44,Cuando Me Enamoro (Juan Luis Guerra),Enrique Iglesias,"51 Semanas en lista
1x"
2011,45,Price Tag,Jessie J / B.O.B.,32 Semanas en lista
2011,46,Lluvia al corazon,MANA,24 Semanas en lista
2011,47,Gimme the Base,CARLOS JEAN / M-AND-Y,31 Semanas en lista
2011,48,Dame vida,Huecco,21 Semanas en lista
2011,49,Got 2 luv U,Sean Paul featuring Alexis Jordan,15 Semanas en lista
2011,50,Sweat,Snoop Dogg / David Guetta,30 Semanas en lista
2012,1,Ai Se Eu Te Pego,Michel Telo,"46 Semanas en lista
4x"
2012,2,Yo Te Esperaré,Cali Y El Dandee,"46 Semanas en lista
2x"
